#Horizon flight at 1000psi,,,
#10th August 2024,,,
time,altitude f,speed,speed averaged
s,feet,f/s,f/s
11.85,4805,220,180
11.9,4813,160,180
11.95,4821,160,173.3333333
12,4831,200,173.3333333
12.05,4839,160,193.3333333
12.1,4850,220,173.3333333
12.15,4857,140,180
12.2,4866,180,166.6666667
12.25,4875,180,166.6666667
12.3,4882,140,173.3333333
12.35,4892,200,173.3333333
12.4,4901,180,180
12.45,4909,160,173.3333333
12.5,4918,180,160
12.55,4925,140,160
12.6,4933,160,160
12.65,4942,180,166.6666667
12.7,4950,160,166.6666667
12.75,4958,160,153.3333333
12.8,4965,140,140
12.85,4971,120,140
12.9,4979,160,126.6666667
12.95,4984,100,140
13,4992,160,133.3333333
13.05,4999,140,146.6666667
13.1,5006,140,133.3333333
13.15,5012,120,133.3333333
13.2,5019,140,140
13.25,5027,160,133.3333333
13.3,5032,100,133.3333333
13.35,5039,140,126.6666667
13.4,5046,140,146.6666667
13.45,5054,160,140
13.5,5060,120,133.3333333
13.55,5066,120,126.6666667
13.6,5073,140,126.6666667
13.65,5079,120,126.6666667
13.7,5085,120,113.3333333
13.75,5090,100,106.6666667
13.8,5095,100,113.3333333
13.85,5102,140,113.3333333
13.9,5107,100,113.3333333
13.95,5112,100,120
14,5120,160,113.3333333
14.05,5124,80,126.6666667
14.1,5131,140,106.6666667
14.15,5136,100,106.6666667
14.2,5140,80,106.6666667
14.25,5147,140,100
14.3,5151,80,113.3333333
14.35,5157,120,86.66666667
14.4,5160,60,100
14.45,5166,120,93.33333333
14.5,5171,100,106.6666667
14.55,5176,100,100
14.6,5181,100,100
14.65,5186,100,100
14.7,5191,100,86.66666667
14.75,5194,60,80
14.8,5198,80,80
14.85,5203,100,80
14.9,5206,60,93.33333333
14.95,5212,120,80
15,5215,60,93.33333333
15.05,5220,100,66.66666667
15.1,5222,40,73.33333333
15.15,5226,80,60
15.2,5229,60,66.66666667
15.25,5232,60,73.33333333
15.3,5237,100,73.33333333
15.35,5240,60,73.33333333
15.4,5243,60,66.66666667
15.45,5247,80,66.66666667
15.5,5250,60,66.66666667
15.55,5253,60,60
15.6,5256,60,66.66666667
15.65,5260,80,60
15.7,5262,40,53.33333333
15.75,5264,40,53.33333333
15.8,5268,80,46.66666667
15.85,5269,20,60
15.9,5273,80,40
15.95,5274,20,60
16,5278,80,40
16.05,5279,20,46.66666667
16.1,5281,40,26.66666667
16.15,5282,20,46.66666667
16.2,5286,80,46.66666667
16.25,5288,40,53.33333333
16.3,5290,40,33.33333333
16.35,5291,20,33.33333333
16.4,5293,40,33.33333333
16.45,5295,40,33.33333333
16.5,5296,20,40
16.55,5299,60,33.33333333
16.6,5300,20,26.66666667
16.65,5300,0,20
16.7,5302,40,26.66666667
16.75,5304,40,13.33333333
16.8,5302,-40,26.66666667
16.85,5306,80,13.33333333
16.9,5306,0,26.66666667
16.95,5306,0,13.33333333
17,5308,40,26.66666667
17.05,5310,40,26.66666667
17.1,5310,0,20
17.15,5311,20,13.33333333
17.2,5312,20,0
17.25,5310,-40,6.666666667
17.3,5312,40,-6.666666667
17.35,5311,-20,26.66666667
17.4,5314,60,0
17.45,5312,-40,20
17.5,5314,40,-20
17.55,5311,-60,0
17.6,5312,20,-13.33333333
17.65,5312,0,26.66666667
17.7,5315,60,20
17.75,5315,0,6.666666667
17.8,5313,-40,-20
17.85,5312,-20,-20
17.9,5312,0,0
17.95,5313,20,-6.666666667
18,5311,-40,0
18.05,5312,20,-26.66666667
18.1,5309,-60,-13.33333333
18.15,5309,0,-33.33333333
18.2,5307,-40,-26.66666667
18.25,5305,-40,-33.33333333
18.3,5304,-20,-33.33333333
18.35,5302,-40,-20
18.4,5302,0,-6.666666667
18.45,5303,20,0
18.5,5302,-20,-13.33333333
18.55,5300,-40,-13.33333333
18.6,5301,20,-20
18.65,5299,-40,-33.33333333
18.7,5295,-80,-60
18.75,5292,-60,-53.33333333
18.8,5291,-20,-20
18.85,5292,20,-6.666666667
18.9,5291,-20,-26.66666667
18.95,5287,-80,-46.66666667
19,5285,-40,-73.33333333
19.05,5280,-100,-66.66666667
19.1,5277,-60,-86.66666667
19.15,5272,-100,-33.33333333
19.2,5275,60,6.666666667
19.25,5278,60,20
19.3,5275,-60,-13.33333333
19.35,5273,-40,-33.33333333
19.4,5273,0,-46.66666667
19.45,5268,-100,-40
19.5,5267,-20,-26.66666667
19.55,5269,40,6.666666667
19.6,5269,0,26.66666667
19.65,5271,40,13.33333333
19.7,5271,0,-13.33333333
19.75,5267,-80,-66.66666667
19.8,5261,-120,-40
19.85,5265,80,-26.66666667
19.9,5263,-40,-20
19.95,5258,-100,-66.66666667
20,5255,-60,-40
20.05,5257,40,-40
20.1,5252,-100,-6.666666667
20.15,5254,40,0
20.2,5257,60,33.33333333
20.25,5257,0,-20
20.3,5251,-120,-60
20.35,5248,-60,-46.66666667
20.4,5250,40,-33.33333333
20.45,5246,-80,-33.33333333
20.5,5243,-60,-73.33333333
20.55,5239,-80,-40
20.6,5240,20,-33.33333333
20.65,5238,-40,-20
20.7,5236,-40,-33.33333333
20.75,5235,-20,-33.33333333
20.8,5233,-40,-6.666666667
20.85,5235,40,0
20.9,5235,0,-13.33333333
20.95,5231,-80,-33.33333333
21,5230,-20,-26.66666667
21.05,5231,20,-13.33333333
21.1,5229,-40,-13.33333333
21.15,5228,-20,-33.33333333
21.2,5226,-40,-13.33333333
21.25,5227,20,-20
21.3,5225,-40,-13.33333333
21.35,5224,-20,-46.66666667
21.4,5220,-80,-53.33333333
21.45,5217,-60,-53.33333333
21.5,5216,-20,-33.33333333
21.55,5215,-20,-20
21.6,5214,-20,-6.666666667
21.65,5215,20,-13.33333333
21.7,5213,-40,-13.33333333
21.75,5212,-20,-33.33333333
21.8,5210,-40,-26.66666667
21.85,5209,-20,-20
21.9,5209,0,-26.66666667
21.95,5206,-60,-20
22,5206,0,-26.66666667
22.05,5205,-20,-20
22.1,5203,-40,-26.66666667
22.15,5202,-20,-33.33333333
22.2,5200,-40,-33.33333333
22.25,5198,-40,-46.66666667
22.3,5195,-60,-13.33333333
22.35,5198,60,-20
22.4,5195,-60,0
22.45,5195,0,-33.33333333
22.5,5193,-40,-26.66666667
22.55,5191,-40,-26.66666667
22.6,5191,0,-33.33333333
22.65,5188,-60,-26.66666667
22.7,5187,-20,-40
22.75,5185,-40,-20
22.8,5185,0,-33.33333333
22.85,5182,-60,-26.66666667
22.9,5181,-20,-40
22.95,5179,-40,-33.33333333
23,5177,-40,-40
23.05,5175,-40,-33.33333333
23.1,5174,-20,-26.66666667
23.15,5173,-20,-20
23.2,5172,-20,-13.33333333
23.25,5172,0,-13.33333333
23.3,5171,-20,-20
23.35,5169,-40,-20
23.4,5169,0,-33.33333333
23.45,5166,-60,-13.33333333
23.5,5167,20,-33.33333333
23.55,5164,-60,-13.33333333
23.6,5164,0,-33.33333333
23.65,5162,-40,-33.33333333
23.7,5159,-60,-33.33333333
23.75,5159,0,-33.33333333
23.8,5157,-40,-26.66666667
23.85,5155,-40,-40
23.9,5153,-40,-26.66666667
23.95,5153,0,-33.33333333
24,5150,-60,-20
24.05,5150,0,-40
24.1,5147,-60,-26.66666667
24.15,5146,-20,-26.66666667
24.2,5146,0,-26.66666667
