0.00	1	87.1F	8.2
0.05	1	87.1F	8.2
0.10	1	87.1F	8.2
0.15	2	87.1F	8.2
0.20	0	87.1F	8.2
0.25	2	87.1F	8.2
0.30	1	87.1F	8.2
0.35	1	87.1F	8.2
0.40	1	87.1F	8.2
0.45	1	87.1F	8.2
0.50	1	87.1F	8.2
0.55	2	87.1F	8.2
0.60	3	87.1F	8.2
0.65	0	87.1F	8.2
0.70	3	87.1F	8.2
0.75	0	87.1F	8.2
0.80	1	87.1F	8.2
0.85	1	87.1F	8.2
0.90	7	87.1F	8.2
0.95	17	87.1F	8.2
1.00	4	87.1F	8.2
1.05	19	87.1F	8.2
1.10	24	87.1F	8.2
1.15	33	87.1F	8.2
1.20	52	87.1F	8.2
1.25	64	87.1F	8.2
1.30	88	87.1F	8.2
1.35	115	87.1F	8.2
1.40	194	87.1F	8.2
1.45	217	87.1F	8.2
1.50	261	87.1F	8.2
1.55	284	87.1F	8.2
1.60	307	87.1F	8.2
1.65	322	87.1F	8.2
1.70	341	87.1F	8.2
1.75	347	87.1F	8.2
1.80	368	87.1F	8.2
1.85	385	87.1F	8.2
1.90	393	87.1F	8.2
1.95	407	87.1F	8.2
2.00	428	87.1F	8.2
2.05	430	87.1F	8.2
2.10	443	87.1F	8.2
2.15	455	87.1F	8.2
2.20	466	87.1F	8.2
2.25	492	87.1F	8.2
2.30	498	87.1F	8.2
2.35	359	87.1F	8.2
2.40	321	87.1F	8.2
2.45	295	87.1F	8.2
2.50	263	87.1F	8.2
2.55	210	87.1F	8.2
2.60	136	87.1F	8.2
2.65	77	87.1F	8.2
2.70	98	87.1F	8.2
2.75	-5	87.1F	8.2
2.80	4	87.1F	8.2
2.85	0	87.1F	8.2
2.90	20	87.1F	8.2
2.95	34	87.1F	8.2
3.00	13	87.1F	8.2
3.05	76	87.0F	8.2
3.10	118	87.1F	8.2
3.15	173	87.1F	8.2
3.20	196	87.1F	8.2
3.25	251	87.0F	8.2
3.30	303	87.1F	8.2
3.35	349	87.1F	8.2
3.40	397	87.1F	8.2
3.45	480	87.1F	8.2
3.50	537	87.1F	8.2
3.55	620	87.1F	8.2
3.60	691	87.0F	8.2
3.65	748	87.1F	8.2
3.70	818	87.1F	8.2
3.75	875	87.1F	8.2
3.80	919	87.1F	8.2
3.85	976	87.1F	8.2
3.90	1028	87.1F	8.2
3.95	1070	87.1F	8.2
4.00	1118	87.1F	8.2
4.05	1171	87.1F	8.2
4.10	1236	87.1F	8.2
4.15	1276	87.0F	8.2
4.20	1323	87.1F	8.2
4.25	1365	87.1F	8.2
4.30	1417	87.1F	8.2
4.35	1467	87.1F	8.2
4.40	1508	87.1F	8.2
4.45	1550	87.1F	8.2
4.50	1595	87.1F	8.2
4.55	1635	87.1F	8.2
4.60	1682	87.1F	8.2
4.65	1721	87.1F	8.2
4.70	1761	87.1F	8.2
4.75	1804	87.1F	8.2
4.80	1842	87.1F	8.2
4.85	1878	87.1F	8.2
4.90	1917	87.1F	8.2
4.95	1960	87.1F	8.2
5.00	1995	87.1F	8.2
5.05	2032	87.1F	8.2
5.10	2071	87.1F	8.2
5.15	2101	87.1F	8.2
5.20	2138	87.1F	8.2
5.25	2169	87.1F	8.2
5.30	2217	87.1F	8.2
5.35	2250	87.1F	8.2
5.40	2280	87.1F	8.2
5.45	2313	87.1F	8.2
5.50	2344	87.1F	8.2
5.55	2389	87.1F	8.2
5.60	2416	87.1F	8.2
5.65	2450	87.1F	8.2
5.70	2483	87.1F	8.2
5.75	2512	87.1F	8.2
5.80	2544	87.1F	8.2
5.85	2580	87.1F	8.2
5.90	2612	87.1F	8.2
5.95	2643	87.1F	8.2
6.00	2671	87.1F	8.2
6.05	2707	87.1F	8.2
6.10	2738	87.1F	8.2
6.15	2764	87.1F	8.2
6.20	2791	87.1F	8.2
6.25	2824	87.1F	8.2
6.30	2847	87.1F	8.2
6.35	2883	87.1F	8.2
6.40	2909	87.1F	8.2
6.45	2937	87.1F	8.2
6.50	2968	87.1F	8.2
6.55	2994	87.1F	8.2
6.60	3019	87.1F	8.2
6.65	3043	87.1F	8.2
6.70	3067	87.1F	8.2
6.75	3095	87.1F	8.2
6.80	3119	87.1F	8.2
6.85	3148	87.1F	8.2
6.90	3171	87.1F	8.2
6.95	3235	87.1F	8.2
7.00	3255	87.1F	8.2
7.05	3275	87.1F	8.2
7.10	3294	87.1F	8.2
7.15	3317	87.1F	8.2
7.20	3331	87.1F	8.2
7.25	3360	87.1F	8.2
7.30	3379	87.1F	8.2
7.35	3405	87.1F	8.2
7.40	3424	87.1F	8.2
7.45	3446	87.1F	8.2
7.50	3474	87.1F	8.2
7.55	3495	87.1F	8.2
7.60	3524	87.1F	8.2
7.65	3537	87.1F	8.2
7.70	3553	87.1F	8.2
7.75	3572	87.1F	8.2
7.80	3601	87.1F	8.2
7.85	3619	87.1F	8.2
7.90	3642	87.1F	8.2
7.95	3655	87.1F	8.2
8.00	3682	87.1F	8.2
8.05	3707	87.1F	8.2
8.10	3797	87.1F	8.2
8.15	3834	87.1F	8.2
8.20	3852	87.1F	8.2
8.25	3871	87.1F	8.2
8.30	3887	87.1F	8.2
8.35	3904	87.1F	8.2
8.40	3922	87.1F	8.2
8.45	3939	87.1F	8.2
8.50	3956	87.1F	8.2
8.55	3973	87.1F	8.2
8.60	3987	87.1F	8.2
8.65	4010	87.1F	8.2
8.70	4023	87.1F	8.2
8.75	4039	87.1F	8.2
8.80	4054	87.1F	8.2
8.85	4074	87.1F	8.2
8.90	4086	87.1F	8.2
