#Horizon flight at 1000psi - Booster Pod A
#10th August 2024
time,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
s,feet,f/s,feet,f/s,e,e,e,e,e,e
5.45,1167,100,1148.44,92.79,0,0,0,0,0,0
5.5,1170,60,1152.75,86.23,0,0,0,0,0,0
5.55,1175,100,1157.2,88.99,0,0,0,0,0,0
5.6,1179,80,1161.56,87.19,0,0,0,0,0,0
5.65,1183,80,1165.85,85.75,0,0,0,0,0,0
5.7,1187,80,1170.08,84.6,0,0,0,0,0,0
5.75,1191,80,1174.26,83.68,0,0,0,0,0,0
5.8,1195,80,1178.41,82.94,0,0,0,0,0,0
5.85,1198,60,1182.33,78.35,0,0,0,0,0,0
5.9,1202,80,1186.26,78.68,0,0,0,0,0,0
5.95,1204,40,1189.81,70.95,0,0,0,0,0,0
6,1208,80,1193.45,72.76,0,0,0,0,0,0
6.05,1212,80,1197.16,74.21,0,0,0,0,0,0
6.1,1215,60,1200.73,71.36,0,0,0,0,0,0
6.15,1217,40,1203.98,65.09,0,1217,0,0,0,0
6.2,1221,80,1207.39,68.07,0,0,0,0,0,0
6.25,1224,60,1210.71,66.46,0,0,0,0,0,0
6.3,1228,80,1214.17,69.17,0,0,0,0,0,0
6.35,1231,60,1217.53,67.33,0,0,0,0,0,0
6.4,1234,60,1220.83,65.87,0,0,0,0,0,0
6.45,1236,40,1223.86,60.69,0,0,0,0,0,0
6.5,1238,40,1226.69,56.56,0,0,0,0,0,0
6.55,1240,40,1229.35,53.24,0,0,0,0,0,0
6.6,1242,40,1231.88,50.6,0,0,0,0,0,0
6.65,1245,60,1234.5,52.48,0,0,0,0,0,0
6.7,1246,20,1236.8,45.98,0,0,0,0,0,0
6.75,1249,60,1239.24,48.78,0,0,0,0,0,0
6.8,1250,20,1241.39,43.03,0,0,0,0,0,0
6.85,1253,60,1243.72,46.42,0,0,0,0,0,0
6.9,1255,40,1245.97,45.14,0,0,0,0,0,0
6.95,1257,40,1248.18,44.11,0,0,0,0,0,0
7,1260,60,1250.54,47.29,0,0,0,0,0,0
7.05,1260,0,1252.43,37.83,0,0,0,0,0,0
7.1,1261,20,1254.15,34.27,0,0,0,0,0,0
