T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
5.00,1126.00,100.00,1105.39,103.07,0,0,0,0,0,0
5.05,1131.00,100.00,1110.51,102.45,0,0,0,0,0,0
5.10,1136.00,100.00,1115.61,101.96,0,0,0,0,0,0
5.15,1142.00,120.00,1120.89,105.57,0,0,0,0,0,0
5.20,1144.00,40.00,1125.51,92.46,0,0,0,0,0,0
5.25,1149.00,100.00,1130.21,93.96,0,0,0,0,0,0
5.30,1152.00,60.00,1134.57,87.17,0,0,0,0,0,0
5.35,1158.00,120.00,1139.25,93.74,0,0,0,0,0,0
5.40,1162.00,80.00,1143.80,90.99,0,0,0,0,0,0
5.45,1167.00,100.00,1148.44,92.79,0,0,0,0,0,0
5.50,1170.00,60.00,1152.75,86.23,0,0,0,0,0,0
5.55,1175.00,100.00,1157.20,88.99,0,0,0,0,0,0
5.60,1179.00,80.00,1161.56,87.19,0,0,0,0,0,0
5.65,1183.00,80.00,1165.85,85.75,0,0,0,0,0,0
5.70,1187.00,80.00,1170.08,84.60,0,0,0,0,0,0
5.75,1191.00,80.00,1174.26,83.68,0,0,0,0,0,0
5.80,1195.00,80.00,1178.41,82.94,0,0,0,0,0,0
5.85,1198.00,60.00,1182.33,78.35,0,0,0,0,0,0
5.90,1202.00,80.00,1186.26,78.68,0,0,0,0,0,0
5.95,1204.00,40.00,1189.81,70.95,0,0,0,0,0,0
6.00,1208.00,80.00,1193.45,72.76,0,0,0,0,0,0
6.05,1212.00,80.00,1197.16,74.21,0,0,0,0,0,0
6.10,1215.00,60.00,1200.73,71.36,0,0,0,0,0,0
6.15,1217.00,40.00,1203.98,65.09,0,1217,0,0,0,0
6.20,1221.00,80.00,1207.39,68.07,0,0,0,0,0,0
6.25,1224.00,60.00,1210.71,66.46,0,0,0,0,0,0
6.30,1228.00,80.00,1214.17,69.17,0,0,0,0,0,0
6.35,1231.00,60.00,1217.53,67.33,0,0,0,0,0,0
6.40,1234.00,60.00,1220.83,65.87,0,0,0,0,0,0
6.45,1236.00,40.00,1223.86,60.69,0,0,0,0,0,0
6.50,1238.00,40.00,1226.69,56.56,0,0,0,0,0,0
6.55,1240.00,40.00,1229.35,53.24,0,0,0,0,0,0
6.60,1242.00,40.00,1231.88,50.60,0,0,0,0,0,0
6.65,1245.00,60.00,1234.50,52.48,0,0,0,0,0,0
6.70,1246.00,20.00,1236.80,45.98,0,0,0,0,0,0
6.75,1249.00,60.00,1239.24,48.78,0,0,0,0,0,0
6.80,1250.00,20.00,1241.39,43.03,0,0,0,0,0,0
6.85,1253.00,60.00,1243.72,46.42,0,0,0,0,0,0
6.90,1255.00,40.00,1245.97,45.14,0,0,0,0,0,0
6.95,1257.00,40.00,1248.18,44.11,0,0,0,0,0,0
7.00,1260.00,60.00,1250.54,47.29,0,0,0,0,0,0
7.05,1260.00,0.00,1252.43,37.83,0,0,0,0,0,0
7.10,1261.00,20.00,1254.15,34.27,0,0,0,0,0,0
7.15,1264.00,60.00,1256.12,39.41,0,0,0,0,0,0
7.20,1266.00,40.00,1258.09,39.53,0,0,0,0,0,0
7.25,1267.00,20.00,1259.88,35.62,0,0,0,0,0,0
7.30,1268.00,20.00,1261.50,32.50,0,0,0,0,0,0
7.35,1271.00,60.00,1263.40,38.00,0,0,0,0,0,0
7.40,1271.00,0.00,1264.92,30.40,0,0,0,0,0,0
7.45,1273.00,40.00,1266.54,32.32,0,0,0,0,0,0
7.50,1273.00,0.00,1267.83,25.85,0,0,0,0,0,0
7.55,1275.00,40.00,1269.26,28.68,0,0,0,0,0,0
7.60,1276.00,20.00,1270.61,26.95,0,0,0,0,0,0
7.65,1277.00,20.00,1271.89,25.56,0,0,0,0,0,0
7.70,1277.00,0.00,1272.91,20.45,0,0,0,0,0,0
7.75,1278.00,20.00,1273.93,20.36,0,0,0,0,0,0
7.80,1279.00,20.00,1274.94,20.29,0,0,0,0,0,0
7.85,1279.00,0.00,1275.75,16.23,0,0,0,0,0,0
